open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1582286400000,9700.16,9759.59,9662.86,9713.03,25480.370,1582307999999,247649500.76164,58527,12497.722,121482515.22847,0
1582308000000,9713.03,9730.00,9547.00,9681.39,27890.848,1582329599999,269568940.00439,63688,13408.594,129638303.07648,0
1582329600000,9681.39,9710.70,9588.88,9618.53,16082.275,1582351199999,155294468.96345,33344,7311.572,70617829.35786,0
1582351200000,9617.87,9666.66,9565.00,9640.87,15489.124,1582372799999,149001427.35183,35896,7904.080,76043813.52470,0
1582372800000,9640.87,9690.00,9613.77,9663.46,17422.240,1582394399999,168155990.90700,44223,9077.516,87623377.84368,0
1582394400000,9662.69,9708.47,9646.58,9659.20,9425.908,1582415999999,91236337.08179,24526,4816.342,46620383.21377,0
1582416000000,9658.95,9950.00,9657.00,9878.87,28159.483,1582437599999,276773361.34867,64831,15631.103,153600503.50951,0
1582437600000,9878.86,10018.90,9823.50,9842.16,30559.134,1582459199999,302609847.31784,69106,15466.619,153204506.49726,0
1582459200000,9842.10,9918.32,9815.25,9888.96,19759.773,1582480799999,195168853.66286,48113,9260.218,91477451.47199,0
1582480800000,9889.40,9980.29,9852.00,9943.12,18655.968,1582502399999,185044080.05861,47054,9528.628,94551349.17620,0
1582502400000,9943.12,10000.00,9560.00,9764.99,46897.017,1582523999999,459904734.25128,106423,21013.224,206151616.85308,0
1582524000000,9764.95,9827.92,9668.00,9816.20,29187.017,1582545599999,284386805.20343,63190,14031.428,136757702.46334,0
1582545600000,9816.21,9848.20,9577.00,9610.37,45917.378,1582567199999,446490666.20924,104256,21596.024,210073238.71765,0
1582567200000,9610.36,9680.00,9487.38,9662.95,35964.259,1582588799999,345006818.99331,83801,17047.710,163576510.73450,0
1582588800000,9662.88,9680.00,9535.48,9563.92,20549.088,1582610399999,197225795.60734,44121,9918.424,95190340.55851,0
1582610400000,9563.91,9658.00,9497.50,9632.00,33612.311,1582631999999,321364838.37776,74877,17256.072,165013619.87453,0
